"AREA";"PERIMETER";"PR_";"PR_ID";"RINGS_OK";"RINGS_NOK";"WRSPR";"PR";"PATH";"ROW";"MODE";"DAYCLASS";"SEQUENCE";"ctry_id";"ctry_name";"ctry_abbr"
7.74458;14.25871;1102;1102;1;0;77110;77110;77;110;"D";1;3334;12;"Antarctica";"AT"
8.28187;15.21121;1103;1103;1;0;77111;77111;77;111;"D";1;3335;12;"Antarctica";"AT"
8.89139;16.30985;1104;1104;1;0;77112;77112;77;112;"D";1;3336;12;"Antarctica";"AT"
9.58461;17.57656;1105;1105;1;0;77113;77113;77;113;"D";1;3337;12;"Antarctica";"AT"
10.37279;19.02258;1106;1106;1;0;77114;77114;77;114;"D";1;3338;12;"Antarctica";"AT"
11.26545;20.64343;1107;1107;1;0;77115;77115;77;115;"D";1;3339;12;"Antarctica";"AT"
12.26725;22.40324;1108;1108;1;0;77116;77116;77;116;"D";1;3340;12;"Antarctica";"AT"
13.37197;24.20224;1109;1109;1;0;77117;77117;77;117;"D";1;3341;12;"Antarctica";"AT"
14.5539;25.84311;1110;1110;1;0;77118;77118;77;118;"D";1;3342;12;"Antarctica";"AT"
15.74391;26.9876;1111;1111;1;0;77119;77119;77;119;"D";1;3343;12;"Antarctica";"AT"
16.81729;27.2078;1112;1112;1;0;77120;77120;77;120;"D";1;3344;12;"Antarctica";"AT"
17.59407;26.34436;1113;1113;1;0;77121;77121;77;121;"D";1;3345;12;"Antarctica";"AT"
17.88105;25.68356;1114;1114;1;0;77122;77122;77;122;"D";1;3346;12;"Antarctica";"AT"
7.2691;13.43347;1251;1251;1;0;102011;102011;102;11;"D";1;11;192;"Russian Federation";"RU"
6.84725;12.71765;1252;1252;1;0;102012;102012;102;12;"D";1;12;192;"Russian Federation";"RU"
6.47224;12.09544;1253;1253;1;0;102013;102013;102;13;"D";1;13;192;"Russian Federation";"RU"
6.13738;11.55188;1254;1254;1;0;102014;102014;102;14;"D";1;14;192;"Russian Federation";"RU"
5.83598;11.07254;1255;1255;1;0;102015;102015;102;15;"D";1;15;192;"Russian Federation";"RU"
5.56466;10.64963;1256;1256;1;0;102016;102016;102;16;"D";1;16;192;"Russian Federation";"RU"
5.31932;10.27303;1257;1257;1;0;102017;102017;102;17;"D";1;17;192;"Russian Federation";"RU"
4.8934;9.63538;1259;1259;1;0;102019;102019;102;19;"D";1;19;192;"Russian Federation";"RU"
4.70892;9.36486;1260;1260;1;0;102020;102020;102;20;"D";1;20;192;"Russian Federation";"RU"
4.53992;9.11979;1261;1261;1;0;102021;102021;102;21;"D";1;21;192;"Russian Federation";"RU"
4.38416;8.89635;1262;1262;1;0;102022;102022;102;22;"D";1;22;192;"Russian Federation";"RU"
3.87718;8.18263;1266;1266;1;0;102026;102026;102;26;"D";1;26;192;"Russian Federation";"RU"
3.77395;8.03975;1267;1267;1;0;102027;102027;102;27;"D";1;27;192;"Russian Federation";"RU"
3.67799;7.9076;1268;1268;1;0;102028;102028;102;28;"D";1;28;192;"Russian Federation";"RU"
2.58204;6.43787;1301;1301;1;0;102061;102061;102;61;"D";1;61;103;"Republic of Indonesia";"ID"
2.58442;6.441;1302;1302;1;0;102062;102062;102;62;"D";1;62;103;"Republic of Indonesia";"ID"
2.58824;6.446;1303;1303;1;0;102063;102063;102;63;"D";1;63;103;"Republic of Indonesia";"ID"
2.59297;6.45221;1304;1304;1;0;102064;102064;102;64;"D";1;64;103;"Republic of Indonesia";"ID"
2.60004;6.46153;1305;1305;1;0;102065;102065;102;65;"D";1;65;103;"Republic of Indonesia";"ID"
2.60924;6.47355;1306;1306;1;0;102066;102066;102;66;"D";1;66;103;"Republic of Indonesia";"ID"
2.63261;6.50426;1308;1308;1;0;102068;102068;102;68;"D";1;68;16;"Commonwealth of Australia";"AU"
2.64625;6.52229;1309;1309;1;0;102069;102069;102;69;"D";1;69;16;"Commonwealth of Australia";"AU"
2.66238;6.54349;1310;1310;1;0;102070;102070;102;70;"D";1;70;16;"Commonwealth of Australia";"AU"
2.67962;6.56617;1311;1311;1;0;102071;102071;102;71;"D";1;71;16;"Commonwealth of Australia";"AU"
2.69917;6.59192;1312;1312;1;0;102072;102072;102;72;"D";1;72;16;"Commonwealth of Australia";"AU"
2.72016;6.61957;1313;1313;1;0;102073;102073;102;73;"D";1;73;16;"Commonwealth of Australia";"AU"
2.74355;6.65042;1314;1314;1;0;102074;102074;102;74;"D";1;74;16;"Commonwealth of Australia";"AU"
2.7696;6.68491;1315;1315;1;0;102075;102075;102;75;"D";1;75;16;"Commonwealth of Australia";"AU"
2.79787;6.72224;1316;1316;1;0;102076;102076;102;76;"D";1;76;16;"Commonwealth of Australia";"AU"
2.82675;6.76049;1317;1317;1;0;102077;102077;102;77;"D";1;77;16;"Commonwealth of Australia";"AU"
2.86006;6.80471;1318;1318;1;0;102078;102078;102;78;"D";1;78;16;"Commonwealth of Australia";"AU"
2.89444;6.85026;1319;1319;1;0;102079;102079;102;79;"D";1;79;16;"Commonwealth of Australia";"AU"
2.93301;6.90152;1320;1320;1;0;102080;102080;102;80;"D";1;80;16;"Commonwealth of Australia";"AU"
2.97349;6.95545;1321;1321;1;0;102081;102081;102;81;"D";1;81;16;"Commonwealth of Australia";"AU"
3.01693;7.0133;1322;1322;1;0;102082;102082;102;82;"D";1;82;16;"Commonwealth of Australia";"AU"
6.13738;11.55188;1346;1346;1;0;102106;102106;102;106;"D";1;106;12;"Antarctica";"AT"
6.47197;12.09536;1347;1347;1;0;102107;102107;102;107;"D";1;107;12;"Antarctica";"AT"
6.84725;12.71765;1348;1348;1;0;102108;102108;102;108;"D";1;108;12;"Antarctica";"AT"
7.2691;13.43347;1349;1349;1;0;102109;102109;102;109;"D";1;109;12;"Antarctica";"AT"
